date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:04:44	313/313	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2021%20Sep%202021%2011:04:43%20GMT	https://www.zoomcar.com/udaipur	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/udaipur	(from https://www.zoomcar.com/)
17:04:45	49842/49842	---M-Z	200	added ('OK')	text/html	etag:%226eaf46f57bf9f1e86051431a1a05cbd5%22	https://www.zoomcar.com/ahmedabad/	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/ahmedabad/index.html	(from https://www.zoomcar.com/)
17:04:45	313/313	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2021%20Sep%202021%2011:04:44%20GMT	https://www.zoomcar.com/vijayawada	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/vijayawada	(from https://www.zoomcar.com/)
17:04:45	49566/49566	---M-Z	200	added ('OK')	text/html	etag:%2234a0d2941e18dab5d7066149ef40cfaf%22	https://www.zoomcar.com/coimbatore/	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/coimbatore/index.html	(from https://www.zoomcar.com/)
17:04:45	313/313	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2021%20Sep%202021%2011:04:44%20GMT	https://www.zoomcar.com/surat	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/surat	(from https://www.zoomcar.com/)
17:04:45	49180/49180	---M-Z	200	added ('OK')	text/html	etag:%22844d4f89ee38327752b151c822d718db%22	https://www.zoomcar.com/indore/	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/indore/index.html	(from https://www.zoomcar.com/)
17:04:45	313/313	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2021%20Sep%202021%2011:04:44%20GMT	https://www.zoomcar.com/siliguri	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/siliguri	(from https://www.zoomcar.com/)
17:04:46	49490/49490	---M-Z	200	added ('OK')	text/html	etag:%22fcade26f764fce155266e1375b53f07d%22	https://www.zoomcar.com/jaipur/	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/jaipur/index.html	(from https://www.zoomcar.com/)
17:04:46	313/313	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2021%20Sep%202021%2011:04:45%20GMT	https://www.zoomcar.com/lucknow	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/lucknow	(from https://www.zoomcar.com/)
17:04:46	313/313	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2021%20Sep%202021%2011:04:45%20GMT	https://www.zoomcar.com/guwahati	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/guwahati	(from https://www.zoomcar.com/)
17:04:46	49909/49909	---M-Z	200	added ('OK')	text/html	etag:%22e09898998e6b162747d3f81f52148b61%22	https://www.zoomcar.com/ludhiana/	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/ludhiana/index.html	(from https://www.zoomcar.com/)
